NIS5;DATE;TX_DESCR_NL;TX_DESCR_FR;TX_ADM_DSTR_DESCR_NL;TX_ADM_DSTR_DESCR_FR;PROVINCE;REGION;CASES
21001;2021-01-01;Anderlecht;Anderlecht;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;6
21004;2021-01-01;Brussel;Bruxelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;12
21007;2021-01-01;Vorst (Brussel-Hoofdstad);Forest (Bruxelles-Capitale);Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;5
21008;2021-01-01;Ganshoren;Ganshoren;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21009;2021-01-01;Elsene;Ixelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21011;2021-01-01;Koekelberg;Koekelberg;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21012;2021-01-01;Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21013;2021-01-01;Sint-Gillis;Saint-Gilles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21014;2021-01-01;Sint-Joost-ten-Node;Saint-Josse-ten-Noode;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21015;2021-01-01;Schaarbeek;Schaerbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;13
21016;2021-01-01;Ukkel;Uccle;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21018;2021-01-01;Sint-Lambrechts-Woluwe;Woluwe-Saint-Lambert;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21019;2021-01-01;Sint-Pieters-Woluwe;Woluwe-Saint-Pierre;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21001;2021-01-02;Anderlecht;Anderlecht;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;6
21002;2021-01-02;Oudergem;Auderghem;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;8
21003;2021-01-02;Sint-Agatha-Berchem;Berchem-Sainte-Agathe;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21004;2021-01-02;Brussel;Bruxelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;12
21005;2021-01-02;Etterbeek;Etterbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;9
21006;2021-01-02;Evere;Evere;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21007;2021-01-02;Vorst (Brussel-Hoofdstad);Forest (Bruxelles-Capitale);Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21008;2021-01-02;Ganshoren;Ganshoren;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21009;2021-01-02;Elsene;Ixelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;14
21010;2021-01-02;Jette;Jette;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21011;2021-01-02;Koekelberg;Koekelberg;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21012;2021-01-02;Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21013;2021-01-02;Sint-Gillis;Saint-Gilles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;6
21015;2021-01-02;Schaarbeek;Schaerbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;18
21016;2021-01-02;Ukkel;Uccle;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;6
21017;2021-01-02;Watermaal-Bosvoorde;Watermael-Boitsfort;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21018;2021-01-02;Sint-Lambrechts-Woluwe;Woluwe-Saint-Lambert;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;7
21019;2021-01-02;Sint-Pieters-Woluwe;Woluwe-Saint-Pierre;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21001;2021-01-03;Anderlecht;Anderlecht;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;16
21002;2021-01-03;Oudergem;Auderghem;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21004;2021-01-03;Brussel;Bruxelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;23
21005;2021-01-03;Etterbeek;Etterbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;16
21006;2021-01-03;Evere;Evere;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21007;2021-01-03;Vorst (Brussel-Hoofdstad);Forest (Bruxelles-Capitale);Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;9
21008;2021-01-03;Ganshoren;Ganshoren;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21009;2021-01-03;Elsene;Ixelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;17
21010;2021-01-03;Jette;Jette;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;11
21011;2021-01-03;Koekelberg;Koekelberg;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
