NIS5;DATE;TX_DESCR_NL;TX_DESCR_FR;TX_ADM_DSTR_DESCR_NL;TX_ADM_DSTR_DESCR_FR;PROVINCE;REGION;CASES
21001;2021-02-01;Anderlecht;Anderlecht;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;43
21002;2021-02-01;Oudergem;Auderghem;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;8
21003;2021-02-01;Sint-Agatha-Berchem;Berchem-Sainte-Agathe;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21004;2021-02-01;Brussel;Bruxelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;46
21005;2021-02-01;Etterbeek;Etterbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;15
21006;2021-02-01;Evere;Evere;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;19
21007;2021-02-01;Vorst (Brussel-Hoofdstad);Forest (Bruxelles-Capitale);Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;21
21008;2021-02-01;Ganshoren;Ganshoren;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;9
21009;2021-02-01;Elsene;Ixelles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;25
21010;2021-02-01;Jette;Jette;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;14
21011;2021-02-01;Koekelberg;Koekelberg;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;8
21012;2021-02-01;Sint-Jans-Molenbeek;Molenbeek-Saint-Jean;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;28
21013;2021-02-01;Sint-Gillis;Saint-Gilles;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;15
21014;2021-02-01;Sint-Joost-ten-Node;Saint-Josse-ten-Noode;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;<5
21015;2021-02-01;Schaarbeek;Schaerbeek;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;30
21016;2021-02-01;Ukkel;Uccle;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;26
21017;2021-02-01;Watermaal-Bosvoorde;Watermael-Boitsfort;Arrondissement Brussel-Hoofdstad;Arrondissement de Bruxelles-Capitale;Brussels;Brussels;7
